         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   7     6   133210.25159   1.6406182E+7        5.8514919       12.9459139              0.0              0.0              0.0             20.0        0.2089522        0.2732586       42.9731804       13.9809295       16.1086654              0.0              0.0       17.9421362              0.0              0.0   5.1618714E-5   7.9239975E-5
  NaN                   7     7   146531.27674   1.6552713E+7        5.7726776       12.3336890              0.0              0.0              0.0             20.0        0.2089510        0.2732128       42.9518212       13.9258368       15.5440706              0.0              0.0       17.9447400              0.0              0.0   4.1864985E-5   6.4929604E-5
  NaN                   7     8   161184.40442   1.6713898E+7        5.6105519       11.8768804              0.0              0.0              0.0             20.0        0.2089499        0.2732207       42.8905608       13.8506905       15.2374368              0.0              0.0       17.9466810              0.0              0.0   2.6796226E-5   4.1903486E-5
  NaN                   7     9   177302.84486   1.6891200E+7        5.7784703       10.7851573              0.0              0.0              0.0             20.0        0.2089490        0.2733535       42.8355511       13.7743778       13.9550484              0.0              0.0       17.9451150              0.0              0.0   1.5158028E-5   2.4145441E-5
  NaN                   7    10   195033.12935   1.7086234E+7        6.3976726        9.9106807              0.0              0.0              0.0             20.0        0.2089481        0.2734791       42.7906543       13.6981830       12.4157129              0.0              0.0       17.9306177              0.0              0.0   2.7386077E-5   4.4304739E-5
  NaN                   7    11   214536.44228   1.7300770E+7        6.6465306        9.1538474              0.0              0.0              0.0             20.0        0.2089474        0.2735956       42.7543755       13.6256773       11.3519058              0.0              0.0       17.9086147              0.0              0.0   2.4261089E-5   3.9797233E-5
  NaN                   7    12   235990.08651   1.7536760E+7        6.5631640        8.3642630              0.0              0.0              0.0             20.0        0.2089467        0.2737038       42.7257915       13.5623405       10.5844487              0.0              0.0       17.8820258              0.0              0.0   1.7845904E-5   2.9702410E-5
  NaN                   7    13   259589.09516   1.7796349E+7        6.2959499        7.5462317              0.0              0.0              0.0             20.0        0.2089463        0.2737996       42.7044027       13.5087151        9.9763593              0.0              0.0       17.8568992              0.0              0.0   1.2457611E-5   2.1048363E-5
  NaN                   7    14   285548.00468   1.8081897E+7        5.8992651        6.6999159              0.0              0.0              0.0             20.0        0.2089460        0.2738839       42.6907048       13.4677968        9.4910108              0.0              0.0       17.8482981              0.0              0.0   3.2045065E-5   5.4975320E-5
  NaN                   7    15   314102.80515   1.8396000E+7        5.5644533        5.9393022              0.0              0.0              0.0             20.0        0.2089459        0.2739340       42.6984116       13.4368251        9.0190891              0.0              0.0       17.8408172              0.0              0.0   2.1223866E-5   3.6916921E-5
  NaN                   8     1    82713.08566   1.8478713E+7        2.5950452       22.6961039              0.0              0.0              0.0              0.0        0.2089457        0.2739326       42.7067183       13.4288927        8.7422813              0.0              0.0       17.8540439              0.0              0.0   1.7456125E-5   3.2175420E-5
  NaN                   8     2    90984.39423   1.8569697E+7        2.5658383       23.0592260              0.0              0.0              0.0              0.0        0.2089456        0.2739254       42.7172473       13.4209796        9.1082557              0.0              0.0       17.8461419              0.0              0.0   1.4032682E-5   2.5700751E-5
  NaN                   8     3   100082.83365   1.8669780E+7        2.5778345       25.2439803              0.0              0.0              0.0              0.0        0.2089456        0.2739115       42.7301993       13.4129105       11.2675886              0.0              0.0       17.8537534              0.0              0.0   1.2263523E-5   2.1596579E-5
  NaN                   8     4   110091.11701   1.8779871E+7        2.5183247       25.8471579              0.0              0.0              0.0              0.0        0.2089455        0.2738905       42.7455266       13.4049178       11.9034972              0.0              0.0       17.8503170              0.0              0.0   1.1003083E-5   1.9177055E-5
  NaN                   8     5   121100.22871   1.8900972E+7        2.4702830       25.7251732              0.0              0.0              0.0              0.0        0.2089456        0.2738617       42.7629558       13.3968701       11.8099822              0.0              0.0       17.8562514              0.0              0.0   1.0288499E-5   1.7970499E-5
  NaN                   8     6   133210.25159   1.9034182E+7        2.4302780       25.5500825              0.0              0.0              0.0              0.0        0.2089457        0.2738249       42.7822603       13.3887411       11.6535232              0.0              0.0       17.8623288              0.0              0.0   2.9865655E-5   5.2327043E-5
  NaN                   8     7   146531.27674   1.9180713E+7        2.3391500       25.4675611              0.0              0.0              0.0              0.0        0.2089459        0.2737800       42.8035824       13.3807711       11.6291321              0.0              0.0       17.8586726              0.0              0.0   2.5445936E-5   4.4657038E-5
  NaN                   8     8   161184.40442   1.9341898E+7        2.2273999       25.3541568              0.0              0.0              0.0              0.0        0.2089461        0.2737274       42.8262952       13.3805594       11.5941583              0.0              0.0       17.8483342              0.0              0.0   2.1751102E-5   3.8255945E-5
  NaN                   8     9   177302.84486   1.9519200E+7        2.1384540       25.1939601              0.0              0.0              0.0              0.0        0.2089466        0.2736649       42.8502971       13.3854900       11.4945859              0.0              0.0       17.8391487              0.0              0.0   1.9860340E-5   3.5031828E-5
  NaN                   8    10   195033.12935   1.9714234E+7        2.0424423       25.0279653              0.0              0.0              0.0              0.0        0.2089472        0.2735951       42.8753003       13.3994699       11.4029937              0.0              0.0       17.8286370              0.0              0.0   1.6138591E-5   2.8548884E-5
  NaN                   8    11   214536.44228   1.9928770E+7        1.9161791       24.8416939              0.0              0.0              0.0              0.0        0.2089480        0.2735203       42.9007651       13.4193620       11.3285525              0.0              0.0       17.8198556              0.0              0.0   1.2966915E-5   2.3009573E-5
